vehicle,year,accelrate,mpg,mpgmpge,msrp
Prius (1st Gen),1997,7.46,41.26,41.26,24509.74
Tino,2000,8.2,54.1,54.1,35354.97
Prius (2nd Gen),2000,7.97,45.23,45.23,26832.25
Insight,2000,9.52,53,53,18936.41
Civic (1st Gen),2001,7.04,47.04,47.04,25833.38
Insight,2001,9.52,53,53,19036.71
Insight,2002,9.71,53,53,19137.01
Alphard,2003,8.33,40.46,40.46,38084.77
Insight,2003,9.52,53,53,19137.01
Civic,2003,8.62,41,41,14071.92
Escape,2004,10.32,31.99,31.99,36676.1
Insight,2004,9.35,52,52,19237.31
Prius,2004,9.9,46,46,20355.64
Silverado 15 2WD,2004,9.09,17,17,30089.64
Lexus RX400h,2005,12.76,28.23,28.23,58521.14
Civic (2nd Gen),2005,7.63,39.99,39.99,26354.44
Highlander,2005,12.76,29.4,29.4,29186.21
Insight,2005,9.71,52,52,19387.76
Civic,2005,8.26,41,41,18236.33
Escape 2WD,2005,9.52,29,29,19322.56
Accord,2005,14.93,28,28,16343.69
Silverado 15 2WD,2005,11.11,17,17,32647.26
Mercury Mariner,2006,8.98,32.93,32.93,34772.4
Camry,2006,11.28,33.64,33.64,29853.25
Lexus GS450h,2006,18.65,33.4,33.4,64547.56
Estima,2006,9.26,47.04,47.04,36012.7
Altima,2006,13.29,32.93,32.93,29524.75
Chevrolet Tahoe,2007,10.91,22.35,22.35,42924.35
Kluger,2007,12.76,25.87,25.87,46229.48
Lexus LS600h/hL,2007,17.54,21,21,118543.6
Tribute,2007,11.28,31.75,31.75,24823.83
GMC Yukon,2007,12.28,21.78,21.78,57094.81
Aura,2007,10.87,27,27,22110.87
Vue,2007,10.75,26,26,22938.33
Silverado 15 2WD,2007,11.49,17,17,34653.23
Crown,2008,8.7,37.16,37.16,62290.38
Cadillac Escalade,2008,9.09,22.35,22.35,78932.81
F3DM,2008,9.52,30.11,85,23744.06
Altima,2008,13.7,34,34,18675.63
A5 BSG,2009,7.87,35.28,35.28,11849.43
Lexus RX450h,2009,13.47,31.99,31.99,46233.36
ML450 Blue HV,2009,12.6,23.99,23.99,60519.83
Prius (3rd Gen),2009,9.6,47.98,47.98,24641.18
S400 Long,2009,13.89,26.34,26.34,96208.93
Mercury Milan,2009,11.55,40.69,40.69,30522.57
Lexus HS250h,2009,11.55,54.1,54.1,38478.15
Avante/Elantra LPI,2009,10.21,41.87,41.87,21872.71
ActiveHybrid X6,2009,17.96,18.82,18.82,97237.9
SAI,2009,11.55,54.1,54.1,39172.44
Malibu,2009,9.09,29,29,24768.79
Vue,2009,13.7,28,28,26408.67
Aspen HEV,2009,13.51,21,21,44903.77
Durango,2009,8.33,21,21,41033.24
Auris HSD,2010,8.85,68.21,68.21,35787.29
CR-Z,2010,9.24,37,37,21435.54
F3DM PHEV,2010,9.24,30.15,85,23124.59
Touareg,2010,15.38,28.7,28.7,64198.95
Audi Q5,2010,14.08,33.64,33.64,37510.86
Jeep Patriot,2010,12.05,29.4,38,17045.06
Besturn B50,2010,7.14,31.28,31.28,14586.61
ActiveHybrid 7,2010,20.41,22.11,22.11,104300.43
Lincoln MKZ,2010,11.15,37.63,37.63,37036.64
Fit/Jazz,2010,8.26,30,30,16911.85
Sonata,2010,14.7,37,37,28287.66
Cayenne S,2010,14.71,26.11,26.11,73183.47
Insight,2010,9.17,41,41,19859.16
Fuga Infiniti M35H,2010,18.65,33.64,33.64,70157.02
Chevrolet Volt,2010,10.78,35,93,42924.35
Tribute 4WD,2010,12.35,29,29,27968.32
Fusion FWD,2010,11.49,39,39,28033.51
HS 250h,2010,11.76,35,35,34753.53
Mariner FWD,2010,11.63,32,32,30194.95
RX 450h,2010,13.89,30,30,42812.54
